county,race,education_level,percentage
Imperial,Asian/Pacific Islander,Less than HS Diploma,13.56
Imperial,Black,Less than HS Diploma,20.81
Imperial,Hispanic/Latino,Less than HS Diploma,32.24
Imperial,Multiracial/Other,Less than HS Diploma,4
Imperial,Native American,Less than HS Diploma,22.22
Imperial,White,Less than HS Diploma,8.78
Imperial,All Races,Less than HS Diploma,28.39
Imperial,Asian/Pacific Islander,HS Diploma,21.51
Imperial,Black,HS Diploma,29.62
Imperial,Hispanic/Latino,HS Diploma,24.43
Imperial,Multiracial/Other,HS Diploma,44.39
Imperial,Native American,HS Diploma,24.62
Imperial,White,HS Diploma,27.91
Imperial,All Races,HS Diploma,25.15
Imperial,Asian/Pacific Islander,Some College,24.66
Imperial,Black,Some College,30.97
Imperial,Hispanic/Latino,Some College,21.49
Imperial,Multiracial/Other,Some College,39.41
Imperial,Native American,Some College,37.5
Imperial,White,Some College,26.7
Imperial,All Races,Some College,22.74
Imperial,Asian/Pacific Islander,AA Degree,3.21
Imperial,Black,AA Degree,12.98
Imperial,Hispanic/Latino,AA Degree,7.45
Imperial,Multiracial/Other,AA Degree,3.9
Imperial,Native American,AA Degree,7.32
Imperial,White,AA Degree,9.18
Imperial,All Races,AA Degree,7.72
Imperial,Asian/Pacific Islander,BA degree,20.63
Imperial,Black,BA degree,3.59
Imperial,Hispanic/Latino,BA degree,11.13
Imperial,Multiracial/Other,BA degree,5.56
Imperial,Native American,BA degree,1.77
Imperial,White,BA degree,19.26
Imperial,All Races,BA degree,11.94
Imperial,Asian/Pacific Islander,MA degree or higher,16.42
Imperial,Black,MA degree or higher,2.02
Imperial,Hispanic/Latino,MA degree or higher,3.26
Imperial,Multiracial/Other,MA degree or higher,2.73
Imperial,Native American,MA degree or higher,6.57
Imperial,White,MA degree or higher,8.15
Imperial,All Races,MA degree or higher,4.06
Los Angeles,Asian/Pacific Islander,Less than HS Diploma,11.29
Los Angeles,Black,Less than HS Diploma,9.21
Los Angeles,Hispanic/Latino,Less than HS Diploma,36.57
Los Angeles,Multiracial/Other,Less than HS Diploma,5.84
Los Angeles,Native American,Less than HS Diploma,17.92
Los Angeles,White,Less than HS Diploma,4.73
Los Angeles,All Races,Less than HS Diploma,20.09
Los Angeles,Asian/Pacific Islander,HS Diploma,14.86
Los Angeles,Black,HS Diploma,23.05
Los Angeles,Hispanic/Latino,HS Diploma,25.8
Los Angeles,Multiracial/Other,HS Diploma,13.9
Los Angeles,Native American,HS Diploma,24.82
Los Angeles,White,HS Diploma,15.83
Los Angeles,All Races,HS Diploma,20.55
Los Angeles,Asian/Pacific Islander,Some College,12.99
Los Angeles,Black,Some College,28.16
Los Angeles,Hispanic/Latino,Some College,17.51
Los Angeles,Multiracial/Other,Some College,21.12
Los Angeles,Native American,Some College,25.04
Los Angeles,White,Some College,18.7
Los Angeles,All Races,Some College,18.08
Los Angeles,Asian/Pacific Islander,AA Degree,7.23
Los Angeles,Black,AA Degree,9.48
Los Angeles,Hispanic/Latino,AA Degree,5.61
Los Angeles,Multiracial/Other,AA Degree,8.82
Los Angeles,Native American,AA Degree,11.49
Los Angeles,White,AA Degree,7.72
Los Angeles,All Races,AA Degree,6.9
Los Angeles,Asian/Pacific Islander,BA degree,36.35
Los Angeles,Black,BA degree,18.87
Los Angeles,Hispanic/Latino,BA degree,10.25
Los Angeles,Multiracial/Other,BA degree,31.91
Los Angeles,Native American,BA degree,13.59
Los Angeles,White,BA degree,31.71
Los Angeles,All Races,BA degree,22.07
Los Angeles,Asian/Pacific Islander,MA degree or higher,17.28
Los Angeles,Black,MA degree or higher,11.22
Los Angeles,Hispanic/Latino,MA degree or higher,4.26
Los Angeles,Multiracial/Other,MA degree or higher,18.42
Los Angeles,Native American,MA degree or higher,7.15
Los Angeles,White,MA degree or higher,21.32
Los Angeles,All Races,MA degree or higher,12.31
Orange,Asian/Pacific Islander,Less than HS Diploma,10.7
Orange,Black,Less than HS Diploma,6.81
Orange,Hispanic/Latino,Less than HS Diploma,31.86
Orange,Multiracial/Other,Less than HS Diploma,4.83
Orange,Native American,Less than HS Diploma,7.55
Orange,White,Less than HS Diploma,3.23
Orange,All Races,Less than HS Diploma,13.34
Orange,Asian/Pacific Islander,HS Diploma,12.91
Orange,Black,HS Diploma,18.82
Orange,Hispanic/Latino,HS Diploma,24.37
Orange,Multiracial/Other,HS Diploma,12.17
Orange,Native American,HS Diploma,17.18
Orange,White,HS Diploma,14.85
Orange,All Races,HS Diploma,17.15
Orange,Asian/Pacific Islander,Some College,12.74
Orange,Black,Some College,26.25
Orange,Hispanic/Latino,Some College,19.48
Orange,Multiracial/Other,Some College,20.87
Orange,Native American,Some College,26.98
Orange,White,Some College,21.83
Orange,All Races,Some College,19.11
Orange,Asian/Pacific Islander,AA Degree,6.94
Orange,Black,AA Degree,11.45
Orange,Hispanic/Latino,AA Degree,6.21
Orange,Multiracial/Other,AA Degree,8.01
Orange,Native American,AA Degree,13.93
Orange,White,AA Degree,8.57
Orange,All Races,AA Degree,7.55
Orange,Asian/Pacific Islander,BA degree,35.71
Orange,Black,BA degree,23.52
Orange,Hispanic/Latino,BA degree,12.58
Orange,Multiracial/Other,BA degree,32.55
Orange,Native American,BA degree,28.18
Orange,White,BA degree,31.55
Orange,All Races,BA degree,26.92
Orange,Asian/Pacific Islander,MA degree or higher,21
Orange,Black,MA degree or higher,13.15
Orange,Hispanic/Latino,MA degree or higher,5.49
Orange,Multiracial/Other,MA degree or higher,21.57
Orange,Native American,MA degree or higher,6.18
Orange,White,MA degree or higher,19.98
Orange,All Races,MA degree or higher,15.94
Riverside,Asian/Pacific Islander,Less than HS Diploma,10.37
Riverside,Black,Less than HS Diploma,6.5
Riverside,Hispanic/Latino,Less than HS Diploma,30.16
Riverside,Multiracial/Other,Less than HS Diploma,7.09
Riverside,Native American,Less than HS Diploma,11.7
Riverside,White,Less than HS Diploma,5.49
Riverside,All Races,Less than HS Diploma,16.9
Riverside,Asian/Pacific Islander,HS Diploma,15.2
Riverside,Black,HS Diploma,25.82
Riverside,Hispanic/Latino,HS Diploma,31.5
Riverside,Multiracial/Other,HS Diploma,20.84
Riverside,Native American,HS Diploma,37.92
Riverside,White,HS Diploma,24.49
Riverside,All Races,HS Diploma,26.92
Riverside,Asian/Pacific Islander,Some College,18.74
Riverside,Black,Some College,29.66
Riverside,Hispanic/Latino,Some College,19.41
