county,race,homeownership_percentage
Imperial,Asian/Pacific Islander,55.03
Imperial,Black,33.53
Imperial,Hispanic/Latino,54.14
Imperial,Multiracial/Other,84.15
Imperial,Native American,64.89
Imperial,White,75.94
Imperial,All Races,57.22
Los Angeles,Asian/Pacific Islander,54.51
Los Angeles,Black,32.8
Los Angeles,Hispanic/Latino,39.05
Los Angeles,Multiracial/Other,40.55
Los Angeles,Native American,40.66
Los Angeles,White,53.43
Los Angeles,All Races,45.77
Orange,Asian/Pacific Islander,62.85
Orange,Black,31.26
Orange,Hispanic/Latino,38.3
Orange,Multiracial/Other,50.51
Orange,Native American,50.4
Orange,White,64.13
Orange,All Races,56.41
Riverside,Asian/Pacific Islander,77.2
Riverside,Black,52.21
Riverside,Hispanic/Latino,62.34
Riverside,Multiracial/Other,62.65
Riverside,Native American,71.36
Riverside,White,75.25
Riverside,All Races,68.29
San Bernardino,Asian/Pacific Islander,69.59
San Bernardino,Black,37.73
San Bernardino,Hispanic/Latino,57.87
San Bernardino,Multiracial/Other,52.76
San Bernardino,Native American,54.72
San Bernardino,White,69.44
San Bernardino,All Races,60.88
Ventura,Asian/Pacific Islander,74.8
Ventura,Black,52.19
Ventura,Hispanic/Latino,48.63
Ventura,Multiracial/Other,58.3
Ventura,Native American,31.2
Ventura,White,71.53
Ventura,All Races,63.7
SCAG,Asian/Pacific Islander,59.36
SCAG,Black,35.79
SCAG,Hispanic/Latino,45.13
SCAG,Multiracial/Other,46.99
SCAG,Native American,49.86
SCAG,White,61.55
SCAG,All Races,52.86
