county,race,walk_bike_public_percentage
Imperial,Asian/Pacific Islander,2.61
Imperial,Black,9.89
Imperial,Hispanic/Latino,3.54
Imperial,Multiracial/Other,5.22
Imperial,Native American,8.04
Imperial,White,5.13
Imperial,All Races,3.9
Los Angeles,Asian/Pacific Islander,7.15
Los Angeles,Black,10.52
Los Angeles,Hispanic/Latino,9.58
Los Angeles,Multiracial/Other,9.64
Los Angeles,Native American,11.79
Los Angeles,White,7.27
Los Angeles,All Races,8.73
Orange,Asian/Pacific Islander,3.5
Orange,Black,6.74
Orange,Hispanic/Latino,5.66
Orange,Multiracial/Other,3.8
Orange,Native American,3.48
Orange,White,3.48
Orange,All Races,4.34
Riverside,Asian/Pacific Islander,3.31
Riverside,Black,3.02
Riverside,Hispanic/Latino,2.2
Riverside,Multiracial/Other,3.08
Riverside,Native American,9.87
Riverside,White,2.45
Riverside,All Races,2.45
San Bernardino,Asian/Pacific Islander,2.26
San Bernardino,Black,5.42
San Bernardino,Hispanic/Latino,2.56
San Bernardino,Multiracial/Other,4.15
San Bernardino,Native American,9.29
San Bernardino,White,3.02
San Bernardino,All Races,2.92
Ventura,Asian/Pacific Islander,3.18
Ventura,Black,4.54
Ventura,Hispanic/Latino,3.15
Ventura,Multiracial/Other,5.09
Ventura,Native American,4.1
Ventura,White,2.95
Ventura,All Races,3.16
SCAG,Asian/Pacific Islander,5.52
SCAG,Black,8.55
SCAG,Hispanic/Latino,6.83
SCAG,Multiracial/Other,6.84
SCAG,Native American,9.49
SCAG,White,5.02
SCAG,All Races,6.24
