survey,year,var_code,var_label,data_type,level,val_min,val_max,val_label,recode,val_length,val_na
acs5,2021,SPORDER,Person number,num,person,01,20,Person number,FALSE,NA,NA
acs5,2021,PWGTP,Person weight,num,person,1,9999,Integer weight of person,FALSE,NA,NA
acs5,2021,AGEP,Age,num,person,0,0,Under 1 year,FALSE,NA,NA
acs5,2021,AGEP,Age,num,person,1,99,1 to 99 years (Top-coded),FALSE,NA,NA
acs5,2021,CIT,Citizenship status,chr,person,1,1,Born in the U.S.,TRUE,1,NA
acs5,2021,CIT,Citizenship status,chr,person,2,2,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",TRUE,1,NA
acs5,2021,CIT,Citizenship status,chr,person,3,3,Born abroad of U.S. citizen parent or parents,TRUE,1,NA
acs5,2021,CIT,Citizenship status,chr,person,4,4,U.S. citizen by naturalization,TRUE,1,NA
acs5,2021,CIT,Citizenship status,chr,person,5,5,Not a citizen of the U.S.,TRUE,1,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,bbbb,bbbb,Not eligible - not naturalized,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1944,1944,1944 or earlier (Bottom-coded),FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1945,1945,1945 - 1947,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1948,1948,1948 - 1949,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1950,1950,1950 - 1951,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1952,1952,1952,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1953,1953,1953,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1954,1954,1954,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1955,1955,1955,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1956,1956,1956,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1957,1957,1957,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1958,1958,1958,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1959,1959,1959,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1960,1960,1960,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1961,1961,1961,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1962,1962,1962,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1963,1963,1963,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1964,1964,1964,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1965,1965,1965,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1966,1966,1966,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1967,1967,1967,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1968,1968,1968,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1969,1969,1969,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1970,1970,1970,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1971,1971,1971,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1972,1972,1972,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1973,1973,1973,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1974,1974,1974,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1975,1975,1975,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1976,1976,1976,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1977,1977,1977,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1978,1978,1978,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1979,1979,1979,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1980,1980,1980,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1981,1981,1981,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1982,1982,1982,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1983,1983,1983,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1984,1984,1984,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1985,1985,1985,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1986,1986,1986,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1987,1987,1987,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1988,1988,1988,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1989,1989,1989,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1990,1990,1990,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1991,1991,1991,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1992,1992,1992,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1993,1993,1993,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1994,1994,1994,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1995,1995,1995,FALSE,NA,NA
