county,race,education_level,percentage
Imperial,Asian/Pacific Islander,Less than HS Diploma,12.7
Imperial,Black,Less than HS Diploma,26.77
Imperial,Hispanic/Latino,Less than HS Diploma,33.49
Imperial,Multiracial/Other,Less than HS Diploma,13.05
Imperial,Native American,Less than HS Diploma,22.1
Imperial,White,Less than HS Diploma,7.61
Imperial,All Races,Less than HS Diploma,29.43
Imperial,Asian/Pacific Islander,HS Diploma,24.3
Imperial,Black,HS Diploma,35.87
Imperial,Hispanic/Latino,HS Diploma,24.61
Imperial,Multiracial/Other,HS Diploma,39.46
Imperial,Native American,HS Diploma,30.68
Imperial,White,HS Diploma,28.89
Imperial,All Races,HS Diploma,25.67
Imperial,Asian/Pacific Islander,Some College,26.76
Imperial,Black,Some College,26.32
Imperial,Hispanic/Latino,Some College,21.79
Imperial,Multiracial/Other,Some College,35.64
Imperial,Native American,Some College,31.69
Imperial,White,Some College,27.96
Imperial,All Races,Some College,22.98
Imperial,Asian/Pacific Islander,AA Degree,2.17
Imperial,Black,AA Degree,7.21
Imperial,Hispanic/Latino,AA Degree,6.47
Imperial,Multiracial/Other,AA Degree,2.01
Imperial,Native American,AA Degree,10.48
Imperial,White,AA Degree,8.83
Imperial,All Races,AA Degree,6.71
Imperial,Asian/Pacific Islander,BA degree,18.15
Imperial,Black,BA degree,2.25
Imperial,Hispanic/Latino,BA degree,10.53
Imperial,Multiracial/Other,BA degree,7.23
Imperial,Native American,BA degree,1.52
Imperial,White,BA degree,18.31
Imperial,All Races,BA degree,11.28
Imperial,Asian/Pacific Islander,MA degree or higher,15.93
Imperial,Black,MA degree or higher,1.58
Imperial,Hispanic/Latino,MA degree or higher,3.12
Imperial,Multiracial/Other,MA degree or higher,2.61
Imperial,Native American,MA degree or higher,3.54
Imperial,White,MA degree or higher,8.4
Imperial,All Races,MA degree or higher,3.94
Los Angeles,Asian/Pacific Islander,Less than HS Diploma,11.42
Los Angeles,Black,Less than HS Diploma,9.55
Los Angeles,Hispanic/Latino,Less than HS Diploma,37.04
Los Angeles,Multiracial/Other,Less than HS Diploma,5.66
Los Angeles,Native American,Less than HS Diploma,18.12
Los Angeles,White,Less than HS Diploma,4.72
Los Angeles,All Races,Less than HS Diploma,20.29
Los Angeles,Asian/Pacific Islander,HS Diploma,15.05
Los Angeles,Black,HS Diploma,23.1
Los Angeles,Hispanic/Latino,HS Diploma,25.72
Los Angeles,Multiracial/Other,HS Diploma,14
Los Angeles,Native American,HS Diploma,24.56
Los Angeles,White,HS Diploma,15.92
Los Angeles,All Races,HS Diploma,20.58
Los Angeles,Asian/Pacific Islander,Some College,12.99
Los Angeles,Black,Some College,28.85
Los Angeles,Hispanic/Latino,Some College,17.7
Los Angeles,Multiracial/Other,Some College,21.36
Los Angeles,Native American,Some College,26.83
Los Angeles,White,Some College,19.44
Los Angeles,All Races,Some College,18.45
Los Angeles,Asian/Pacific Islander,AA Degree,7.3
Los Angeles,Black,AA Degree,9.54
Los Angeles,Hispanic/Latino,AA Degree,5.52
Los Angeles,Multiracial/Other,AA Degree,8.6
Los Angeles,Native American,AA Degree,10.21
Los Angeles,White,AA Degree,7.93
Los Angeles,All Races,AA Degree,6.93
Los Angeles,Asian/Pacific Islander,BA degree,36.52
Los Angeles,Black,BA degree,18.46
Los Angeles,Hispanic/Latino,BA degree,9.94
Los Angeles,Multiracial/Other,BA degree,32.3
Los Angeles,Native American,BA degree,13.6
Los Angeles,White,BA degree,31.25
Los Angeles,All Races,BA degree,21.82
Los Angeles,Asian/Pacific Islander,MA degree or higher,16.74
Los Angeles,Black,MA degree or higher,10.49
Los Angeles,Hispanic/Latino,MA degree or higher,4.07
Los Angeles,Multiracial/Other,MA degree or higher,18.08
Los Angeles,Native American,MA degree or higher,6.68
Los Angeles,White,MA degree or higher,20.74
Los Angeles,All Races,MA degree or higher,11.93
Orange,Asian/Pacific Islander,Less than HS Diploma,11
Orange,Black,Less than HS Diploma,7.04
Orange,Hispanic/Latino,Less than HS Diploma,32.83
Orange,Multiracial/Other,Less than HS Diploma,5.65
Orange,Native American,Less than HS Diploma,6.72
Orange,White,Less than HS Diploma,3.12
Orange,All Races,Less than HS Diploma,13.62
Orange,Asian/Pacific Islander,HS Diploma,12.77
Orange,Black,HS Diploma,19.61
Orange,Hispanic/Latino,HS Diploma,24.28
Orange,Multiracial/Other,HS Diploma,12.59
Orange,Native American,HS Diploma,16.93
Orange,White,HS Diploma,15
Orange,All Races,HS Diploma,17.19
Orange,Asian/Pacific Islander,Some College,12.84
Orange,Black,Some College,24.92
Orange,Hispanic/Latino,Some College,19.46
Orange,Multiracial/Other,Some College,20.95
Orange,Native American,Some College,24.68
Orange,White,Some College,22.18
Orange,All Races,Some College,19.3
Orange,Asian/Pacific Islander,AA Degree,7.35
Orange,Black,AA Degree,11.34
Orange,Hispanic/Latino,AA Degree,6.09
Orange,Multiracial/Other,AA Degree,7.73
Orange,Native American,AA Degree,18.83
Orange,White,AA Degree,8.7
Orange,All Races,AA Degree,7.68
Orange,Asian/Pacific Islander,BA degree,35.51
Orange,Black,BA degree,23.82
Orange,Hispanic/Latino,BA degree,12.09
