county,race,med_hr_wage
Imperial,Asian/Pacific Islander,22.67
Imperial,Black,10.75
Imperial,Hispanic/Latino,15.5
Imperial,Multiracial/Other,18.55
Imperial,Native American,13.29
Imperial,White,22.5
Imperial,All Races,15.85
Los Angeles,Asian/Pacific Islander,25.04
Los Angeles,Black,21.49
Los Angeles,Hispanic/Latino,16.12
Los Angeles,Multiracial/Other,25.3
Los Angeles,Native American,21.47
Los Angeles,White,29.43
Los Angeles,All Races,20.29
Orange,Asian/Pacific Islander,27.97
Orange,Black,24.7
Orange,Hispanic/Latino,17.52
Orange,Multiracial/Other,28.69
Orange,Native American,24.09
Orange,White,32.24
Orange,All Races,24.7
Riverside,Asian/Pacific Islander,23.77
Riverside,Black,23.14
Riverside,Hispanic/Latino,17.65
Riverside,Multiracial/Other,23.14
Riverside,Native American,17.48
Riverside,White,26.27
Riverside,All Races,20.59
San Bernardino,Asian/Pacific Islander,24.28
San Bernardino,Black,20.59
San Bernardino,Hispanic/Latino,17.71
San Bernardino,Multiracial/Other,21
San Bernardino,Native American,18.76
San Bernardino,White,24.71
San Bernardino,All Races,20.07
Ventura,Asian/Pacific Islander,31.36
Ventura,Black,25.23
Ventura,Hispanic/Latino,16.8
Ventura,Multiracial/Other,27.79
Ventura,Native American,27.33
Ventura,White,29.71
Ventura,All Races,22.56
SCAG,Asian/Pacific Islander,25.72
SCAG,Black,21.51
SCAG,Hispanic/Latino,16.76
SCAG,Multiracial/Other,25.3
SCAG,Native American,20.91
SCAG,White,29.16
SCAG,All Races,21.02
